ID Código Material Técnica Sexo Dibujado Artefacto_(s) Cantidad Dibujado_(s) Sexo_2 Elementos_adicionales_1 2 3 4 5 6 Tocado Elementos_de_la_cara_1 Elementos_de_la_cara_2 Elementos_de_las_orejas_1 Elementos_de_las_orejas_2 Elementos_de_cuello_y_pecho_1 Elementos_de_cuello_y_pecho_2 Elementos_de_cuello_y_pecho_3 Cinturones
1 MEB_V_A_2125 tumbaga plana masculino si si 5 si masculino_sin_gonadas_hacia_arriba propulsor escudo N/A N/A N/A N/A con_adornos N/A N/A N/A N/A argollas N/A N/A dos_hilos
2 MEB_V_A_10337 tumbaga figurilla indeterminado no si 8 si indeterminado pájaros bandeja cachiporra poporo dos_palitos N/A colmena canutos_en_boca N/A N/A N/A doble_canana N/A N/A N/A
3 MEB_V_A_13636 oro semi_plana indeterminado si si 4 si indeterminado pájaros un_palito N/A N/A N/A N/A rectangular N/A N/A colgantes_sin_forma N/A N/A N/A N/A N/A
4 MEB_V_A_62597 oro plana no_tiene si si 3 si no_tiene bandeja N/A N/A N/A N/A N/A alas nariguera_calada N/A N/A N/A N/A N/A N/A N/A
5 MA_07331 cobre plana indeterminado si si 3 si indeterminado N/A N/A N/A N/A N/A N/A colmena N/A N/A N/A N/A collar_de_1_o_2_vueltas N/A N/A un_hilo
6 MA_07077 cobre plana no_tiene si si 2 si no_tiene N/A N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A N/A N/A N/A un_hilo
7 MA_07336 cobre plana no_tiene si si 2 si no_tiene N/A N/A N/A N/A N/A N/A irregular N/A N/A N/A N/A N/A N/A N/A un_hilo
8 MA_07337 cobre plana masculino si si 2 si masculino_con_gonadas_hacia_arriba N/A N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A N/A N/A N/A un_hilo
9 MA_07338 cobre plana no_tiene si si 3 si no_tiene N/A N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A argollas N/A N/A un_hilo
10 MA_07339 cobre plana masculino si si 3 si masculino_sin_gonadas_hacia_abajo N/A N/A N/A N/A N/A N/A colmena N/A N/A N/A N/A collar_de_1_o_2_vueltas N/A N/A un_hilo
11 MA_07340 cobre semi_plana femenino si si 5 si femenino_herradura_hacia_abajo poporo un_palito N/A N/A N/A N/A colmena N/A N/A N/A N/A inidentificable N/A N/A lámina
12 MA_07341 cobre semi_plana no_tiene si si 2 si no_tiene macana N/A N/A N/A N/A N/A colmena N/A N/A N/A N/A N/A N/A N/A N/A
13 MA_07348 cobre plana no_tiene si si 2 si no_tiene un_palito N/A N/A N/A N/A N/A no_tiene N/A N/A N/A N/A N/A N/A N/A un_hilo
14 MA_07349 cobre plana femenino si si 2 si femenino_herradura_hacia_abajo N/A N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A N/A N/A N/A un_hilo
15 BLM_1326 tumbaga plana no_tiene si si 2 si no_tiene dos_palitos N/A N/A N/A N/A N/A rectangular_tiras N/A N/A N/A N/A N/A N/A N/A N/A
